2018,4,4,0
2012,6,14,2
2019,36,41,0
2020,2,2,0
2020,33,48,2
2015,8,17,2
2016,5,5,0
2020,7,7,0
2013,9,16,0
2020,7,7,0
2016,4,22,0
2019,390,543,0
2017,11,15,0
2017,5,7,2
2014,8,19,0
2015,0,0,1
2020,0,0,0
2017,33,64,0
2014,6,6,0
2014,17,1125,2
2020,62,62,1
2020,8,8,2
2017,5,6,0
2017,13,33,0
2020,41,41,0
2016,8,11,0
2016,7,26,2
2020,15,26,2
2015,3,4,2
2020,9,9,0
2020,58,119,2
2016,2,2,0
2015,9,56,0
2016,10,22,0
2020,20,20,0
2015,7,14,0
2018,1,1,0
2016,27,39,0
2018,23,35,0
2020,29,29,1
2019,668,904,0
2020,5,5,0
2014,4,4,0
2020,12,50,0
2017,35,878,2
2020,43,43,2
2020,6,6,0
2017,7,22,0
2014,7,14,0
2014,21,72,0
2014,17,855,0
2014,4,8,0
2017,50,112,2
2014,3,4,0
2014,12,12,0
2020,1,1,0
2015,9,19,0
2015,28,56,2
2018,19,27,0
2020,19,19,2
2016,10,17,0
2016,18,57,0
2020,19,19,2
2018,28,49,0
2015,41,121,2
2019,52,52,0
2019,19,22,1
2019,9,10,0
2018,9,15,0
2018,12,27,0
2019,4,4,0
2019,5,5,0
2012,4,5,1
2019,9,9,0
2019,13,35,2
2018,10,13,0
2018,7,11,2
2018,38,47,0
2019,13,13,0
2019,0,0,0
2019,3,12,0
2018,5,6,0
2019,86,108,0
2013,10,21,0
2020,3,3,0
2013,11,23,0
2018,24,68,0
2018,52,95,1
2013,12,15,0
2018,41,68,0
2013,1,1,1
2013,30,79,0
2019,19,42,2
2018,3,4,0
2019,3,3,2
2019,7,7,0
2012,5,6,0
2019,72,99,0
2020,39,39,2
2017,44,74,0
2020,52,52,2
2018,5,8,1
2017,13,21,0
2020,26,26,0
2019,32,44,2
2012,20,49,0
2019,3,3,0
2019,32,35,0
2020,8,8,0
2017,5,13,0
2020,18,18,0
2014,6,6,2
2020,156,156,0
2017,81,223,0
2020,6,6,0
2020,9,9,0
2020,13,13,0
2014,51,115,2
2020,79,79,2
2015,41,174,2
2017,8,14,0
2020,11,15,0
2019,114,199,0
2020,25,90,2
2015,32,122,2
2017,2,2,0
2020,4,4,0
2020,17,17,0
2015,45,166,0
2020,3,3,2
2016,11,21,0
2015,13,44,0
2016,9,26,0
2020,1333,2443,1
2015,8,32,0
2019,119,326,0
2020,41,41,2
2017,6,25,0
2016,6,6,0
2020,8,13,0
2019,4,17,0
2012,9,46,0
2018,94,134,0
2020,5,5,0
2019,2,2,0
2019,12,12,0
2018,46,82,0
2018,15,22,1
2020,5,5,0
2018,47,74,2
2013,4,4,0
2018,5,7,0
2020,115,115,2
2019,10,15,2
2013,4,4,2
2012,5,6,0
2019,13,16,0
2019,8,12,0
2020,14,14,0
2018,94,155,0
2012,4,4,0
2019,6,6,0
2019,33,55,0
2018,16,23,0
2019,7,7,0
2020,14,14,2
2019,4,4,0
2012,9,13,0
2018,8,9,0
2019,1,1,0
2019,0,0,0
2020,43,85,0
2016,18,74,0
2018,23,39,0
2019,16,20,0
2018,29,41,0
2016,21,41,2
2020,10,10,1
2020,10,10,2
2019,3,3,0
2012,9,32,0
2019,334,519,1
2020,6,9,2
2013,23,101,2
2012,1,1,2
2015,10,13,0
2018,54,57,0
2013,12,26,0
2019,29,72,2
2012,9,24,0
2020,19,19,0
2019,27,27,0
2019,2,2,1
2012,55,356,0
2019,11,14,0
2013,14,29,0
2019,3,3,0
2020,7,13,2
2019,21,24,1
2019,8,10,0
2019,63,97,1
2018,10,13,2
2013,6,17,0
2018,41,59,2
2019,25,25,0
2019,15,21,2
2016,29,56,0
2020,11,12,0
2020,7,7,2
2019,6,6,0
2013,3,7,1
2018,4,4,0
2019,5,5,0
2016,7,8,0
2018,14,34,0
2020,38,38,0
2017,4,5,0
2016,6,8,0
2014,9,10,0
2020,9,9,0
2020,96,145,0
2017,31,58,0
2019,31,40,0
2016,5,19,0
2015,5,373,2
2016,39,89,0
2020,23,23,0
2016,23,85,0
2020,18,18,0
2017,11,16,0
2019,27,39,0
2020,41,41,0
2015,10,15,2
2019,5,5,0
2019,9,9,0
2020,7,7,0
2017,60,180,0
2014,6,6,0
2020,12,12,1
2017,44,68,0
2019,2,2,0
2020,5,5,0
2014,10,19,0
2015,11,31,1
2014,20,39,1
2017,16,16,0
2020,2,2,0
2014,8,11,0
2017,3,3,0
2017,29,78,0
2019,14,14,0
2016,5,19,0
2015,22,45,0
2020,65,153,0
2016,65,125,1
2019,20,28,0
2020,2,2,0
2013,27,116,0
2015,0,0,0
2016,26,75,0
2020,28,28,2
2020,20,21,2
2016,3,3,0
2020,78,159,0
2016,15,53,0
2017,14,59,0
2020,25,43,0
2017,62,152,0
2020,5,5,0
2017,17,36,0
2014,22,272,0
2017,26,38,2
2018,8,16,0
2018,2,2,0
2019,0,0,0
2013,9,15,0
2018,119,254,2
2013,2,2,0
2019,12,12,0
2014,19,91,0
2018,19,21,0
2017,28,52,0
2018,7,13,0
2012,10,37,0
2019,305,444,0
2020,2,2,0
2019,4,4,0
2019,19,28,2
2018,1,1,0
2019,7,10,0
2019,12,15,0
2019,0,0,2
2020,24,38,0
2012,6,26,1
2019,30,36,0
2013,9,29,1
2019,14,19,2
2018,73,236,0
2013,36,123,0
2019,1,1,0
2019,34,43,0
2018,14,17,0
2020,8,8,0
2013,26,138,0
2019,5,5,1
2018,9,25,0
2019,9,18,0
2013,5,5,1
2018,172,368,0
2019,31,31,0
2019,4,4,1
2018,2,2,0
2019,4,4,0
2019,182,244,0
2018,3,3,0
2020,10,10,0
2019,4,4,0
2018,2,2,0
2012,8,13,0
2019,19,19,0
2019,32,83,0
2019,27,31,0
2019,6,6,2
2017,10,15,0
2019,1,1,0
2012,19,107,0
2019,15,15,0
2012,18,44,0
2019,3,3,0
2018,33,56,2
2017,44,92,0
2020,2,2,0
2013,7,11,0
2019,2,2,0
2018,26,33,0
2019,24,27,2
2013,12,58,0
2013,0,0,0
2018,7,13,0
2013,6,8,2
2018,13,18,0
2013,5,6,0
2020,42,42,2
2017,26,39,2
2014,10,74,0
2020,11,11,0
2017,22,37,0
2020,13,13,2
2020,23,23,0
2014,14,69,0
2018,0,0,0
2015,22,39,0
2020,14,14,0
2016,10,14,0
2015,9,14,0
2020,33,58,0
2018,6,6,0
2018,11,15,0
2016,15,29,2
2018,5,7,0
2020,12,16,0
2015,16,55,0
2015,6,7,0
2016,9,31,2
2020,47,47,2
2015,6,14,0
2014,9,24,1
2020,0,0,0
2014,20,29,0
2014,2,2,2
2014,5,10,0
2017,3,3,0
2014,2,2,2
2018,3,3,0
2019,17,23,0
2019,16,16,0
2013,8,12,0
2019,7,12,0
2019,6,6,0
2020,1,1,1
2019,22,24,0
2019,3,3,0
2012,3,11,0
2019,11,11,0
2020,41,41,0
2018,0,0,0
2013,5,13,2
2018,7,7,0
2019,13,13,0
2020,19,19,1
2018,0,0,0
2019,8,10,0
2018,143,243,2
2012,8,39,0
2020,0,0,2
2018,18,35,0
2019,0,0,0
2016,48,224,0
2018,6,8,0
2020,64,64,0
2020,2,2,0
2019,50,82,0
2018,28,36,0
2016,2,2,0
2019,4,4,0
2019,11,11,2
2012,28,103,2
2019,189,251,0
2018,11,18,0
2019,3,3,0
2020,3,3,2
2012,7,35,0
2015,10,15,0
2020,16,16,0
2015,5,8,0
2019,17,28,0
2020,9,9,0
2020,13,13,1
2015,3,4,0
2017,4,4,2
2020,5,5,0
2014,5,9,0
2017,86,312,2
2020,24,24,0
2020,4,4,0
2020,10,10,2
2017,67,163,0
2020,16,21,0
2016,5,43,0
2019,14,17,0
2017,96,236,2
2020,42,42,2
2019,29,54,0
2016,5,9,0
2015,13,70,2
2020,11,11,0
2016,12,33,0
2016,3,18,2
2020,13,13,1
2020,17,17,1
2015,6,7,0
2016,27,44,1
2020,13,13,0
2016,9,35,0
2020,34,53,0
2016,6,9,0
2015,9,10,0
2014,5,6,0
2017,9,25,0
2019,9,14,2
2020,9,9,0
2016,14,29,0
2014,6,6,0
2020,9,9,0
2019,23,29,2
2020,22,22,0
2014,31,3200,0
2020,173,173,0
2019,23,28,0
2019,8,8,0
2015,6,11,0
2020,537,540,0
2019,2,2,0
2020,12,23,0
2020,77,77,2
2012,8,23,0
2019,10,13,0
2019,27,45,0
2012,22,91,0
2019,294,357,2
2019,22,38,2
2013,1,1,0
2018,6,8,0
2020,7,7,0
2012,7,18,0
2013,17,36,0
2020,74,74,0
2019,87,133,0
2012,14,62,0
2020,11,11,0
2018,128,194,2
2016,4,6,0
2019,5,5,0
2013,10,21,2
2019,27,58,0
2018,15,16,0
2016,16,24,2
2018,18,21,2
2019,3,6,2
2020,4,4,1
2020,1,1,0
2018,4,4,2
2018,8,8,0
2013,10,14,0
2019,2,2,0
2013,34,211,2
2019,14,54,0
2019,32,61,2
2019,20,30,2
2013,6,23,2
2018,51,66,2
2019,14,14,0
2020,7,7,2
2013,10,33,2
2018,47,92,0
2020,4,4,0
2018,6,7,0
2019,4,6,0
2020,4,4,0
2013,15,28,0
2019,4,4,2
2017,27,56,0
2018,6,6,0
2019,18,18,0
2018,11,17,0
2018,8,10,0
2019,14,14,0
2019,6,6,0
2017,16,27,0
2019,93,142,2
2019,0,0,0
2012,12,42,0
2020,16,16,0
2019,5,12,0
2018,14,31,1
2019,5,6,2
2019,7,22,0
2012,13,25,1
2019,14,15,0
2019,3,3,1
2018,26,31,0
2013,7,10,0
2019,5,5,0
2019,17,17,0
2013,2,2,0
2012,6,24,0
2019,25,32,2
2013,11,36,2
2018,16,21,2
2013,5,6,0
2020,25,25,0
2014,5,19,0
2020,14,14,2
2017,25,47,0
2014,29,41,0
2014,0,0,0
2020,10,10,0
2020,3,3,0
2017,14,19,0
2018,31,50,0
2020,14,14,2
2017,27,62,0
2018,13,15,2
2019,37,46,0
2017,6,11,0
2020,39,62,0
2020,11,11,0
2015,25,45,2
2015,43,196,0
2019,37,44,0
2020,23,23,2
2016,7,7,0
2015,172,904,0
2020,29,29,2
2014,5,7,2
2020,43,43,0
2016,4,9,1
2014,8,13,0
2014,5,28,0
2016,9,22,0
2014,4,10,0
2020,50,50,0
2019,70,131,0
2015,28,143,0
2018,19,50,0
2016,18,24,0
2020,9,9,0
2020,7,7,0
2015,16,41,0
2019,7,7,0
2020,33,33,0
2018,18,41,2
2019,13,16,0
2016,14,52,0
2015,3,3,2
2020,8,8,0
2019,34,34,0
2015,25,60,0
2013,11,36,0
2020,5,5,0
2020,4,4,0
2016,8,21,0
2014,24,57,2
2017,23,37,0
2017,34,70,2
2017,12,16,2
2014,26,275,0
2020,14,20,0
2019,21,23,0
2019,22,37,0
2019,59,59,1
2013,22,51,0
2020,69,69,2
2017,4,6,0
2018,6,6,0
2019,3,3,2
2020,9,9,0
2012,26,72,1
2019,11,15,2
2020,43,43,2
2017,20,30,2
2019,60,75,2
2012,10,49,2
2019,7,7,0
2019,5,5,1
2018,23,31,0
2020,8,8,0
2014,19,56,0
2019,9,10,0
2019,6,6,0
2018,10,25,0
2013,4,5,0
2014,10,15,0
2019,23,23,0
2019,5,5,0
2013,6,17,0
2018,13,17,0
2019,0,0,0
2020,3,3,0
2019,4,4,0
2018,3,4,0
2018,18,24,0
2019,152,319,0
2019,13,15,0
2018,80,218,0
2019,30,37,0
2013,10,49,0
2020,2,2,0
2016,4,4,0
2020,295,470,2
2016,6,22,0
2020,10,10,2
2020,27,102,2
2016,0,0,2
2020,6,6,0
2016,13,44,0
2019,12,12,0
2017,5,7,0
2020,35,35,0
2019,12,15,2
2020,6,15,2
2017,28,72,0
2017,6,14,0
2020,61,61,0
2014,29,247,2
2012,5,8,0
2020,39,40,2
2020,0,0,0
2020,7,7,0
2014,7,9,0
2012,14,50,0
2015,5,10,0
2020,17,17,1
2016,2,2,2
2020,13,13,0
2016,39,170,0
2019,11,11,0
2019,15,20,2
2019,4,4,0
2019,41,64,0
2019,2,2,2
2018,106,583,0
2019,4,4,0
2013,17,30,0
2018,20,22,0
2019,47,56,0
2013,4,16,0
2018,49,65,2
2016,14,30,2
2015,21,49,2
2013,14,33,1
2018,7,15,0
2019,1,1,2
2018,53,61,2
2015,7,18,0
2013,6,18,0
2018,27,44,2
2019,6,7,0
2019,29,41,0
2019,6,6,0
2019,2,2,0
2012,5,5,0
2019,9,9,0
2013,4,9,0
2019,3,3,0
2019,15,15,2
2019,30,39,0
2013,3,6,2
2012,10,39,2
2019,3,3,0
2020,21,21,0
2019,2,2,0
2012,14,107,0
2019,28,61,2
2020,38,46,0
2018,19,29,0
2012,8,40,0
2019,21,21,0
2013,11,252,1
2018,111,314,0
2013,10,23,2
2019,83,268,0
2018,32,60,0
2019,6,6,0
2016,3,3,0
2018,59,366,0
2013,54,212,0
2019,0,0,0
2016,3,5,0
2019,13,13,2
2013,8,14,0
2018,7,11,2
2019,5,5,0
2020,23,23,2
2018,19,20,2
2013,73,238,0
2018,15,16,0
2019,1,1,2
2019,0,0,0
2020,27,27,0
2013,7,7,0
2019,3,3,0
2019,7,7,2
2019,30,38,2
2015,0,0,0
2020,11,11,0
2016,57,165,0
2016,21,60,0
2015,13,23,0
2020,47,47,2
2015,33,61,0
2020,12,12,0
2020,27,27,0
2016,12,26,0
2020,22,22,2
2014,26,71,0
2019,10,10,1
2020,2,2,0
2017,18,23,0
2020,9,9,0
2017,6,6,0
2020,22,22,0
2019,48,64,0
2014,16,31,0
2020,30,45,2
2014,11,30,2
2017,14,17,2
2014,8,11,2
2017,3,3,0
2020,49,49,0
2016,6,6,0
2020,2,2,0
2015,6,9,0
2016,15,28,2
2020,11,11,0
2015,37,61,0
2019,4,4,0
2019,7,7,0
2018,17,31,0
2018,15,31,0
2019,68,75,2
2018,10,12,2
2013,1,1,0
2018,51,87,2
2013,15,58,2
2019,0,0,0
2019,204,326,0
2018,12,18,0
2020,13,13,0
2020,15,15,1
2017,11,22,0
2019,3,3,0
2019,6,7,0
2020,32,60,0
2017,73,317,2
2019,2,2,0
2018,6,10,0
2019,9,12,0
2019,5,10,0
2012,0,0,0
2018,10,10,2
2018,1,1,0
2019,9,9,0
2012,1,1,2
2019,70,89,0
2019,19,33,0
2013,8,43,0
2019,46,79,2
2019,37,46,0
2018,1,1,0
2019,18,33,2
2013,14,92,0
2020,5,5,0
2019,1,1,0
2018,42,141,2
2014,19,67,0
2014,2,2,0
2017,24,36,0
2014,5,6,0
2014,14,34,0
2020,2,2,0
2017,50,72,2
2018,163,276,2
2020,39,39,1
2016,6,23,1
2020,1,1,0
2020,21,49,0
2019,6,12,0
2015,68,725,0
2016,13,48,2
2018,57,85,1
2015,10,22,2
2019,194,261,1
2020,2,2,0
2018,5,5,0
2020,22,22,2
2015,1,1,0
2016,7,48,0
2019,24,45,0
2015,5,7,0
2016,3,3,0
2017,30,78,0
2017,59,227,0
2020,0,0,0
2017,30,53,0
2014,16,33,0
2017,27,75,0
2020,23,23,0
2020,11,11,2
2014,6,27,0
2020,77,77,0
2020,2,2,0
2020,10,10,0
2017,173,471,0
2020,28,28,0
2014,6,9,0
2016,13,20,2
2020,22,22,2
2015,5,6,0
2013,30,195,0
2020,21,44,2
2016,62,833,2
2015,11,39,2
2013,6,9,2
2015,21,45,0
2019,12,12,2
2020,12,12,0
2015,27,84,0
2013,9,26,0
2020,2,2,0
2020,16,16,2
2016,15,39,0
2019,19,20,0
2015,27,70,0
2015,13,20,2
2014,6,7,0
2017,9,13,0
2017,0,0,1
2014,8,30,0
2020,6,6,0
2017,66,125,0
2013,6,24,0
2019,7,7,0
2018,34,47,0
2019,321,823,0
2013,26,80,1
2020,2,2,2
2018,70,108,2
2019,51,65,0
2014,8,27,0
2019,11,15,0
2020,0,0,0
2019,33,40,0
2020,29,29,2
2012,13,38,0
2018,36,42,2
2018,5,5,0
2013,4,4,0
2019,1,1,2
2019,3,3,2
2014,6,18,0
2019,6,8,2
2020,216,217,1
2012,6,11,0
2018,41,69,0
2019,14,14,2
2013,0,0,0
2014,9,30,0
2020,18,18,0
2019,17,116,0
2012,10,27,0
2019,38,138,2
2018,125,218,1
2020,9,9,0
2014,10,21,0
2012,14,90,2
2019,20,27,0
2012,17,35,0
2018,40,90,0
2013,6,17,0
2019,0,0,0
2018,3,3,0
2018,10,20,1
2018,12,13,2
2019,3,3,0
2019,27,38,0
2020,91,91,0
2015,56,108,2
2017,0,0,0
2020,186,184,0
2020,47,47,0
2019,13,15,0
2015,4,4,1
2020,10,10,1
2015,51,73,0
2014,6,8,0
2020,20,20,0
2017,21,52,0
2020,7,7,2
2020,5,5,0
2020,10,15,0
2014,7,46,0
2020,3,3,1
2014,18,29,0
2014,18,46,0
2016,7,7,0
2020,12,12,0
2014,13,20,0
2015,68,175,2
2020,16,16,0
2015,8,16,0
2020,9,9,0
2020,23,24,2
2016,14,62,0
2019,19,19,0
2019,1,1,0
2020,5,5,0
2013,5,6,0
2012,6,15,0
2019,47,60,1
2019,3,3,2
2019,16,16,2
2012,17,109,0
2013,22,39,0
2013,8,68,0
2018,45,83,0
2016,7,7,0
2019,4,4,0
2013,4,8,0
2018,2,2,0
2016,4,4,0
2019,3,3,0
2019,25,37,0
2018,56,86,0
2013,21,70,0
2018,23,36,0
2018,8,9,2
2013,17,57,0
2015,4,4,0
2019,20,28,0
2013,8,11,0
2020,10,10,2
2012,1,1,0
2015,19,35,0
2018,5,7,0
2013,4,4,0
2019,91,125,0
2019,39,76,0
2020,6,6,0
2019,43,47,0
2019,5,5,0
2012,8,24,2
2020,17,17,0
2019,76,102,0
2019,12,13,0
2012,8,11,1
2019,5,5,0
2019,33,48,1
2019,36,42,2
2019,2,2,0
2019,0,0,2
2016,13,16,0
2018,57,188,0
2019,9,13,0
2020,6,6,2
2018,9,11,0
2016,20,63,0
2018,263,456,0
2019,22,29,0
2020,16,16,0
2018,5,5,0
2019,2,2,0
2013,11,40,2
2012,4,4,0
2020,52,53,1
2018,168,472,0
2019,9,9,0
2013,9,36,0
2016,40,65,0
2020,6,6,2
2018,2,2,2
2019,5,5,1
2019,26,26,0
2020,10,10,2
2019,1,1,0
2019,45,100,0
2015,24,35,0
2016,1,1,0
2020,43,62,0
2016,11,45,0
2016,202,397,2
2015,8,12,2
2016,9,18,0
2020,24,24,0
2017,44,67,2
2016,5,7,0
2017,6,9,0
2019,5,5,0
2015,5,16,2
2020,36,36,0
2019,38,47,2
2017,3,4,0
2020,2,2,0
2020,7,7,2
2017,57,174,0
2014,11,16,0
2020,3,3,2
2017,81,134,2
2020,6,6,1
2017,5,6,2
2015,3,9,0
2020,1,1,0
2020,37,37,2
2015,31,141,0
2014,48,190,0
2020,15,15,0
2020,46,47,1
2017,124,412,1
2014,10,23,0
2017,207,428,0
2019,19,26,0
2016,22,56,0
2014,6,12,0
2020,10,10,2
2018,5,5,0
2020,5,5,0
2013,17,24,0
2017,10,15,2
2015,36,102,0
2014,3,3,0
2016,52,220,0
2019,5,5,1
2013,35,133,0
2020,14,14,0
2015,16,48,0
2015,64,511,1
2018,122,273,2
2016,13,26,0
2020,16,20,0
2015,56,173,0
2020,9,9,0
2018,18,30,2
2014,4,4,1
2015,4,5,0
2020,4,4,2
2020,3,3,0
2016,9,12,0
2015,4,9,0
2014,3,7,0
2020,7,7,0
2018,18,21,0
2019,37,37,0
2013,25,108,0
2018,8,8,0
2019,8,8,0
2018,2,2,2
2019,12,12,0
2020,36,36,0
2013,3,11,0
2019,26,31,2
2019,2,2,0
2013,4,10,0
2019,12,17,0
2019,9,26,0
2020,44,59,2
2014,10,20,2
2019,5,5,0
2013,4,10,0
2018,293,990,0
2019,12,12,0
2020,40,40,0
2018,8,8,0
2019,6,6,0
2019,6,9,0
2017,41,121,0
2020,6,6,0
2018,3,3,0
2019,19,24,0
2020,0,0,0
2019,0,0,0
2013,4,61,2
2019,50,67,0
2018,14,34,2
2019,8,8,0
2019,8,10,0
2018,37,53,2
2019,9,23,2
2013,8,10,1
2019,0,0,0
2018,6,6,2
2013,2,2,1
2019,0,0,0
2019,23,28,1
2013,6,20,0
2019,7,8,2
2018,16,35,0
2019,7,7,0
2019,7,7,0
2013,18,20,1
2019,3,3,0
2012,3,17,0
2018,27,41,0
2020,29,28,2
2019,18,24,0
2019,3,3,0
2019,17,48,2
2012,8,41,2
2017,55,265,0
2019,1,1,0
2019,39,74,2
2018,69,190,1
2019,9,10,1
2012,8,28,0
2019,59,147,2
2018,15,31,0
2019,2,2,0
2018,4,4,0
2019,1,1,2
2019,3,4,0
2018,6,6,0
2019,76,90,0
2017,11,20,2
2019,3,3,0
2013,0,0,2
2019,1,1,0
2019,13,15,0
2018,121,205,0
2020,11,11,2
2019,29,29,2
2013,13,35,2
2020,22,22,2
2019,6,6,2
2018,65,110,0
2013,32,85,0
2019,44,81,2
2020,1,1,0
2014,9,11,0
2016,11,15,0
2015,51,101,2
2020,7,7,0
2020,4,4,0
2020,33,48,0
2020,57,57,0
2020,3,3,2
2015,8,8,2
2020,2,2,0
2016,8,21,0
2020,28,28,0
2019,18,28,2
2018,70,129,0
2020,7,7,0
2016,21,39,0
2017,1,1,0
2018,8,8,2
2018,6,6,0
2016,8,33,0
2017,0,0,0
2020,89,88,2
2017,7,7,0
2020,18,18,0
2014,18,64,0
2017,15,38,0
2020,25,25,0
2014,7,16,0
2017,64,209,0
2017,81,145,0
2020,80,80,2
2019,19,19,0
2019,16,21,0
2019,5,5,0
2020,82,81,0
2013,118,503,0
2019,4,4,0
2018,42,81,2
2013,21,105,0
2018,23,25,1
2013,12,15,0
2018,2,2,2
2018,53,76,0
2019,26,32,0
2016,12,25,0
2018,1,1,0
2013,44,67,0
2019,8,9,0
2016,12,21,0
2018,4,4,0
2019,14,20,2
2019,16,20,0
2019,65,95,2
2018,60,90,0
2019,6,7,0
2012,13,72,0
2018,15,19,0
2019,35,41,0
2018,1,1,0
2019,53,54,0
2012,5,5,0
2019,3,3,2
2016,32,171,0
2016,16,37,0
2015,9,12,0
2016,19,52,0
2020,5,5,2
2015,27,177,0
2020,2,2,2
2016,21,65,0
2014,13,48,0
2020,47,47,0
2019,28,37,0
2017,87,175,0
2014,21,32,0
2017,40,50,0
2019,23,33,2
2020,5,5,0
2020,62,62,0
2019,9,11,0
2020,42,42,2
2017,10,13,0
2020,3,3,0
2020,2,2,0
2017,65,282,0
2019,75,107,0
2020,12,14,2
2020,148,148,0
2015,0,0,0
2016,20,70,0
2020,5,5,0
2016,97,215,0
2020,18,25,0
2016,52,1265,0
2020,12,12,2
